Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
NEM,Newmont Corporation,122.13,USD,Minerali non energetici,132862081311,USD,
AEM,Agnico Eagle Mines Limited,228.26,USD,Minerali non energetici,114365016068.14072,USD,
FCX,"Freeport-McMoRan, Inc.",64.34,USD,Minerali non energetici,92469549551,USD,
B,Barrick Mining Corporation,47.96,USD,Minerali non energetici,80350280591.8866,USD,
WPM,Wheaton Precious Metals Corp,150.38,USD,Minerali non energetici,68275207264.64089,USD,
AU,Anglogold Ashanti PLC,114.25,USD,Minerali non energetici,57683391296,USD,
FNV,Franco-Nevada Corporation,260.4,USD,Minerali non energetici,50199155706.87315,USD,
GFI,Gold Fields Limited Sponsored ADR,54.09,USD,Minerali non energetici,47507214911.0474,USD,
KGC,Kinross Gold Corporation,33.45,USD,Minerali non energetici,40133311633.38361,USD,
PAAS,Pan American Silver Corp.,64.7,USD,Minerali non energetici,27295893845.457726,USD,
RGLD,"Royal Gold, Inc.",285.54,USD,Minerali non energetici,24216677927,USD,
AGI,Alamos Gold Inc.,47.84,USD,Minerali non energetici,20087098328.08421,USD,
HL,Hecla Mining Company,24.02,USD,Minerali non energetici,16101802322.000002,USD,
CDE,"Coeur Mining, Inc.",24.63,USD,Minerali non energetici,15814861727.999998,USD,
AG,First Majestic Silver Corp.,27.55,USD,Minerali non energetici,13533355127.346153,USD,
IAG,IAMGOLD Corporation,22.2,USD,Minerali non energetici,13186819002.820513,USD,
HMY,Harmony Gold Mining Co. Ltd. Sponsored ADR,20.92,USD,Minerali non energetici,13003676037.977098,USD,
SBSW,Sibanye Stillwater Limited Sponsored ADR,15.94,USD,Minerali non energetici,11052379959.950998,USD,
BVN,Compania de Minas Buenaventura SAA Sponsored ADR,38.41,USD,Minerali non energetici,9508060099.63306,USD,
EGO,Eldorado Gold Corporation,43,USD,Minerali non energetici,8621439658.225695,USD,
OR,OR Royalties Inc.,43.68,USD,Minerali non energetici,8190468489.7559,USD,
TFPM,Triple Flag Precious Metals Corp.,37.71,USD,Minerali non energetici,7789434151.8172455,USD,
BTG,B2Gold Corp.,5.39,USD,Minerali non energetici,7206666095.164178,USD,
SSRM,SSR Mining Inc,30.46,USD,Minerali non energetici,6193318244.623171,USD,
NG,Novagold Resources Inc,10.77,USD,Minerali non energetici,4717416595.216656,USD,
CGAU,Centerra Gold Inc.,19.05,USD,Minerali non energetici,3842976944.562381,USD,
SA,Seabridge Gold Inc,35.48,USD,Minerali non energetici,3702221796.242948,USD,
PPTA,Perpetua Resources Corp.,30.18,USD,Minerali non energetici,3678117540,USD,
MUX,McEwen Inc.,26.21,USD,Minerali non energetici,1557750538,USD,
IDR,Idaho Strategic Resources Inc,38.41,USD,Minerali non energetici,598903077.0000001,USD,
