Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
NVDA,NVIDIA Corporation,189.82,USD,Tecnologia elettronica,4612626177979,USD,
AAPL,Apple Inc.,264.58,USD,Tecnologia elettronica,3884335731049,USD,
MSFT,Microsoft Corporation,397.23,USD,Servizi tecnologici,2949682652010,USD,
AMZN,"Amazon.com, Inc.",210.11,USD,Vendita al dettaglio,2255514236523,USD,
WMT,Walmart Inc.,122.99,USD,Vendita al dettaglio,980250821343,USD,
JPM,JPMorgan Chase & Co.,310.79,USD,Finanza,838210744616,USD,
V,Visa Inc. Class A,320.95,USD,Finanza,611733726760,USD,
JNJ,Johnson & Johnson,242.49,USD,Tecnologia sanitaria,584376403750.9999,USD,
HD,"Home Depot, Inc.",382.25,USD,Vendita al dettaglio,380534261169,USD,
PG,Procter & Gamble Company,160.78,USD,Beni di consumo non durevoli,373652834922,USD,
CVX,Chevron Corporation,183.93,USD,Minerali energetici,370347014326,USD,
CAT,Caterpillar Inc.,759.74,USD,Filiera di fabbricazione,353497409416,USD,
KO,Coca-Cola Company,79.84,USD,Beni di consumo non durevoli,343440437763,USD,
CSCO,"Cisco Systems, Inc.",79.2,USD,Tecnologia elettronica,312831518805,USD,
MRK,"Merck & Co., Inc.",122.26,USD,Tecnologia sanitaria,303452071376,USD,
GS,"Goldman Sachs Group, Inc.",922.24,USD,Finanza,276606054434,USD,
UNH,UnitedHealth Group Incorporated,290,USD,Servizi sanitari,262693200684,USD,
IBM,International Business Machines Corporation,257.16,USD,Servizi tecnologici,240376499344,USD,
AXP,American Express Company,346.18,USD,Finanza,237692034224,USD,
MCD,McDonald's Corporation,329.23,USD,Servizi al consumatore,234462587078.99997,USD,
VZ,Verizon Communications Inc.,49.25,USD,Comunicazione,207720941040,USD,
AMGN,Amgen Inc.,374.75,USD,Tecnologia sanitaria,202015616073.99997,USD,
DIS,Walt Disney Company,105.58,USD,Servizi al consumatore,187037074018.00003,USD,
BA,Boeing Company,232.03,USD,Tecnologia elettronica,182224088263.00003,USD,
CRM,"Salesforce, Inc.",185.16,USD,Servizi tecnologici,173494923431,USD,
HON,Honeywell International Inc.,243.97,USD,Tecnologia elettronica,155085791346.00003,USD,
NKE,"NIKE, Inc. Class B",65.4,USD,Beni di consumo non durevoli,96817090056.99998,USD,
SHW,Sherwin-Williams Company,360.63,USD,Industrie di trasformazione,89355014717,USD,
MMM,3M Company,167.06,USD,Filiera di fabbricazione,87990502752.99998,USD,
TRV,"Travelers Companies, Inc.",304.93,USD,Finanza,65937421195.99999,USD,
