Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
ASML,ASML Holding NV,1229.6,EUR,Tecnologia elettronica,565016468669.9907,USD,
ROG,Roche Holding Ltd Dividend Right Cert.,369,CHF,Tecnologia sanitaria,378394541561.0712,USD,
MC,LVMH Moet Hennessy Louis Vuitton SE,564.25,EUR,Beni di consumo non durevoli,324830431503.5166,USD,
AZN,AstraZeneca PLC,15126,GBX,Tecnologia sanitaria,319060041033.9516,USD,
NOVN,Novartis AG,126.6,CHF,Tecnologia sanitaria,310043507886.1548,USD,
HSBA,HSBC Holdings Plc,1299.6,GBX,Finanza,298575054415.26715,USD,
NESN,Nestle S.A.,80.87,CHF,Beni di consumo non durevoli,263617791367.9128,USD,
RMS,Hermes International S.A.,2126,EUR,Beni di consumo non durevoli,260357726039.0253,USD,
OR,L'Oreal S.A.,397.35,EUR,Beni di consumo non durevoli,251611269069.08505,USD,
SAP,SAP SE,170.84,EUR,Servizi tecnologici,233121458917.40247,USD,
SIE,Siemens Aktiengesellschaft,244.3,EUR,Filiera di fabbricazione,225339470417.505,USD,
SHELL,Shell Plc,33.68,EUR,Minerali energetici,223722692206.66318,USD,
ITX,"Industria de Diseno Textil, S.A.",57.64,EUR,Vendita al dettaglio,211415762868.3196,USD,
NOVO_B,Novo Nordisk A/S Class B,300.3,DKK,Tecnologia sanitaria,210411397870.9028,USD,
DTE,Deutsche Telekom AG,32.82,EUR,Comunicazione,188514301615.52002,USD,
SAN,"Banco Santander, S.A.",10.992,EUR,Finanza,185933138554.62595,USD,
AIR,Airbus SE,187.4,EUR,Tecnologia elettronica,176919251029.92325,USD,
SU,Schneider Electric SE,259.85,EUR,Filiera di fabbricazione,173773110813.50635,USD,
ALV,Allianz SE,380.6,EUR,Finanza,169168913793.113,USD,
SAF,Safran SA,345.5,EUR,Tecnologia elettronica,167908291742.8738,USD,
ENR,Siemens Energy AG,164.2,EUR,Filiera di fabbricazione,165845996722.5365,USD,
TTE,TotalEnergies SE,65.84,EUR,Minerali energetici,164893632685.6144,USD,
ABBN,ABB Ltd.,69.66,CHF,Filiera di fabbricazione,164868132346.671,USD,
RIO,Rio Tinto plc,7100,GBX,Minerali non energetici,163280444058.67078,USD,
ULVR,Unilever PLC,5389.577,GBX,Beni di consumo non durevoli,158101955217.8844,USD,
ABI,Anheuser-Busch InBev SA/NV,66.54,EUR,Beni di consumo non durevoli,156395710485.0904,USD,
IBE,Iberdrola SA,19.76,EUR,Utenze,155523278632.0796,USD,
RR.,Rolls-Royce Holdings plc,1326,GBX,Tecnologia elettronica,151743041086.6188,USD,
UCG,UniCredit S.p.A.,74.26,EUR,Finanza,136012376812.09665,USD,
BATS,British American Tobacco p.l.c.,4545,GBX,Beni di consumo non durevoli,133493315689.2468,USD,
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",20.1,EUR,Finanza,133198110793.57106,USD,
UBSG,UBS Group AG,32.86,CHF,Finanza,131996748198.6888,USD,
EL,EssilorLuxottica SA,239.7,EUR,Tecnologia sanitaria,129666964990.71025,USD,
INVE_B,Investor AB Class B,368.7,SEK,Finanza,123309231948.20439,USD,
BNP,BNP Paribas S.A. Class A,96.04,EUR,Finanza,123275289411.73425,USD,
CFR,Compagnie Financiere Richemont SA,164.05,CHF,Beni di consumo durevoli,122677566691.1136,USD,
GSK,GSK plc,2194,GBX,Tecnologia sanitaria,120293118848.6424,USD,
ISP,Intesa Sanpaolo S.p.A.,5.868,EUR,Finanza,120145401663.82721,USD,
AI,Air Liquide SA,174.16,EUR,Industrie di trasformazione,119571905531.61725,USD,
PRX,Prosus N.V. Class N,44.785,EUR,Servizi tecnologici,113581258694.27225,USD,
SAN,Sanofi SA,79.88,EUR,Tecnologia sanitaria,113553938674.55411,USD,
CDI,Christian Dior SE,534,EUR,Beni di consumo non durevoli,111792193828.92795,USD,
ENEL,Enel SpA,9.595,EUR,Utenze,108665913177.05495,USD,
ZURN,Zurich Insurance Group Ltd,574,CHF,Finanza,104073214171.9962,USD,
ATCO_A,Atlas Copco AB Class A,194.65,SEK,Filiera di fabbricazione,100156150684.8973,USD,
BP.,BP PLC,471.1,GBX,Minerali energetici,96883713818.34,USD,
CS,AXA SA,39.86,EUR,Finanza,96502593977.19391,USD,
RHM,Rheinmetall AG,1705.5,EUR,Tecnologia elettronica,94211246898.50145,USD,
DG,VINCI SA,140.5,EUR,Servizi industriali,92121317277.86426,USD,
CABK,CaixaBank SA,11.035,EUR,Finanza,90646184613.2207,USD,
NG.,National Grid plc,1345,GBX,Utenze,90172745572.0032,USD,
BARC,Barclays PLC,476.3,GBX,Finanza,88014508540.37999,USD,
RACE,Ferrari NV,309.7,EUR,Beni di consumo durevoli,86118181153.7782,USD,
BA.,BAE Systems plc,2130,GBX,Tecnologia elettronica,85075346043.9,USD,
INGA,ING Groep N.V.,25.265,EUR,Finanza,83854261027.58046,USD,
MUV2,Munchener Ruckversicherungs-Gesellschaft AG,545.4,EUR,Finanza,83417279198.93585,USD,
LLOY,Lloyds Banking Group plc,104.6775,GBX,Finanza,82419768127.89119,USD,
GLEN,Glencore plc,512.4,GBX,Servizi di distribuzione,79976505465.1272,USD,
VOLV_B,Volvo AB Class B,350.8,SEK,Filiera di fabbricazione,78428378995.2705,USD,
ENGI,ENGIE S.A.,26.37,EUR,Utenze,75023083984.0164,USD,
EQNR,Equinor ASA,272.7,NOK,Minerali energetici,72787062309.39897,USD,
IFX,Infineon Technologies AG,45.13,EUR,Tecnologia elettronica,69295460976.86716,USD,
DBK,Deutsche Bank Aktiengesellschaft,31.215,EUR,Finanza,68521647165.781906,USD,
NDA_FI,Nordea Bank Abp,16.84,EUR,Finanza,67533031197.65635,USD,
MBG,Mercedes-Benz Group AG,59.24,EUR,Beni di consumo durevoli,67198818175.8683,USD,
ENI,Eni S.p.A.,18.594,EUR,Minerali energetici,66611231649.13545,USD,
ACA,Credit Agricole SA,18.795,EUR,Finanza,66153314754.0214,USD,
NWG,NatWest Group Plc,613.8,GBX,Finanza,66099774771.312,USD,
MRK,Merck KGaA,127.75,EUR,Tecnologia sanitaria,65637154997.402405,USD,
G,Assicurazioni Generali S.p.A.,35.75,EUR,Finanza,64876643338.16065,USD,
DHL,Deutsche Post AG,49.73,EUR,Trasporti,64842082639.098206,USD,
HO,Thales SA,258.8,EUR,Tecnologia elettronica,64013321931.2907,USD,
BMW,Bayerische Motoren Werke AG,89.42,EUR,Beni di consumo durevoli,63159482386.1656,USD,
DSV,DSV A/S,1671,DKK,Trasporti,62087378380.3416,USD,
UCB,UCB S.A.,272.7,EUR,Tecnologia sanitaria,61798095475.761406,USD,
VOW3,Volkswagen AG Pref,102.1,EUR,Beni di consumo durevoli,60705280290.08635,USD,
GLE,Societe Generale S.A. Class A,74.76,EUR,Finanza,57572803396.79415,USD,
KBC,KBC Group N.V.,117.85,EUR,Finanza,57394982888.1127,USD,
EOAN,E.ON SE,18.56,EUR,Utenze,57349404502.342354,USD,
REL,RELX PLC,2306.7408,GBX,Servizi commerciali,56370033084.220795,USD,
BN,Danone SA,72.66,EUR,Beni di consumo non durevoli,55938650438.331055,USD,
RKT,Reckitt Benckiser Group plc,6352.106,GBX,Beni di consumo non durevoli,55746678245.119194,USD,
SHL,Siemens Healthineers AG,42.47,EUR,Tecnologia sanitaria,55667131443.37285,USD,
ORA,Orange SA,17.6,EUR,Comunicazione,55598499654.60845,USD,
DGE,Diageo plc,1844,GBX,Beni di consumo non durevoli,55461625116.20039,USD,
STAN,Standard Chartered PLC,1819.5,GBX,Finanza,54688066193.5452,USD,
LSEG,London Stock Exchange Group plc,7828,GBX,Servizi commerciali,53657855480.3808,USD,
ANTO,Antofagasta plc,4042,GBX,Minerali non energetici,53035333317.928795,USD,
ARGX,argenx SE,710.8,EUR,Tecnologia sanitaria,52664224762.5258,USD,
AAL,Anglo American plc,3631,GBX,Minerali non energetici,52600371147.652794,USD,
SAND,Sandvik AB,383.9,SEK,Filiera di fabbricazione,52330520501.907196,USD,
FER,Ferrovial SE,61.44,EUR,Servizi industriali,52222178820.89495,USD,
