Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
NVDA,NVIDIA Corporation,189.82,USD,Tecnologia elettronica,4612626177979,USD,
AAPL,Apple Inc.,264.58,USD,Tecnologia elettronica,3884335731049,USD,
GOOGL,Alphabet Inc. Class A,314.98,USD,Servizi tecnologici,3809878059967,USD,
GOOG,Alphabet Inc. Class C,314.9,USD,Servizi tecnologici,3809878059967,USD,
MSFT,Microsoft Corporation,397.23,USD,Servizi tecnologici,2949682652010,USD,
AMZN,"Amazon.com, Inc.",210.11,USD,Vendita al dettaglio,2255514236523,USD,
META,Meta Platforms Inc Class A,655.66,USD,Servizi tecnologici,1658528258660,USD,
AVGO,Broadcom Inc.,332.65,USD,Tecnologia elettronica,1577184742472.9998,USD,
TSLA,"Tesla, Inc.",411.82,USD,Beni di consumo durevoli,1545326526268,USD,
WMT,Walmart Inc.,122.99,USD,Vendita al dettaglio,980250821343,USD,
ASML,ASML Holding NV Sponsored ADR,1469.59,USD,Tecnologia elettronica,565016468669.9907,USD,
MU,"Micron Technology, Inc.",428.17,USD,Tecnologia elettronica,481909322392.99994,USD,
COST,Costco Wholesale Corporation,985.27,USD,Vendita al dettaglio,437331227465,USD,
NFLX,"Netflix, Inc.",78.67,USD,Servizi tecnologici,332157485414,USD,
AMD,"Advanced Micro Devices, Inc.",200.15,USD,Tecnologia elettronica,326326729416,USD,
PLTR,Palantir Technologies Inc. Class A,135.24,USD,Servizi tecnologici,323450235228,USD,
CSCO,"Cisco Systems, Inc.",79.2,USD,Tecnologia elettronica,312831518805,USD,
LRCX,Lam Research Corporation,244.92,USD,Filiera di fabbricazione,305848990077,USD,
AMAT,"Applied Materials, Inc.",375.38,USD,Filiera di fabbricazione,297905274354,USD,
TMUS,"T-Mobile US, Inc.",215.46,USD,Comunicazione,237407364770.99997,USD,
LIN,Linde plc,496.51,USD,Industrie di trasformazione,231844824790.99997,USD,
