Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
BE,Bloom Energy Corporation Class A,147.55,USD,Tecnologia elettronica,41394890389,USD,
SATS,EchoStar Corporation Class A,110.36,USD,Comunicazione,31770030441,USD,
CRDO,Credo Technology Group Holding Ltd.,124.06,USD,Servizi tecnologici,22409169981,USD,
FN,Fabrinet,546.13,USD,Tecnologia elettronica,19565718255,USD,
NXT,Nextpower Inc. Class A,119.34,USD,Tecnologia elettronica,17719106839,USD,
KTOS,"Kratos Defense & Security Solutions, Inc.",96.08,USD,Tecnologia elettronica,16365226254,USD,
HL,Hecla Mining Company,24.02,USD,Minerali non energetici,16101802322.000002,USD,
CDE,"Coeur Mining, Inc.",24.63,USD,Minerali non energetici,15814861727.999998,USD,
GH,"Guardant Health, Inc.",103.1,USD,Servizi sanitari,13523672232.999998,USD,
STRL,"Sterling Infrastructure, Inc.",435.5,USD,Servizi industriali,13378287248,USD,
AVAV,"AeroVironment, Inc.",264.63,USD,Tecnologia elettronica,13211885983,USD,
BBIO,"BridgeBio Pharma, Inc.",68.14,USD,Tecnologia sanitaria,13131178641,USD,
AEIS,"Advanced Energy Industries, Inc.",331.23,USD,Tecnologia elettronica,12504260172,USD,
DY,"Dycom Industries, Inc.",429.73,USD,Servizi industriali,12443284059.999998,USD,
ENSG,"Ensign Group, Inc.",210.64,USD,Servizi sanitari,12240876265.000002,USD,
SPXC,"SPX Technologies, Inc.",242.29,USD,Filiera di fabbricazione,12074661157,USD,
MOD,Modine Manufacturing Company,226.36,USD,Filiera di fabbricazione,11936233002,USD,
IONQ,"IonQ, Inc.",31.9,USD,Tecnologia elettronica,11301519170,USD,
RNA,Avidity Biosciences Inc,72.86,USD,Tecnologia sanitaria,11274369124,USD,
TTMI,"TTM Technologies, Inc.",107.93,USD,Tecnologia elettronica,11160493315,USD,
RMBS,Rambus Inc.,102.64,USD,Tecnologia elettronica,11063640804.000002,USD,
MOG.A,Moog Inc. Class A,345.08,USD,Tecnologia elettronica,10944295522.000002,USD,
WTS,"Watts Water Technologies, Inc. Class A",326.69,USD,Filiera di fabbricazione,10886265296,USD,
SITM,SiTime Corporation,406.97,USD,Tecnologia elettronica,10703275791,USD,
IESC,"IES Holdings, Inc.",519.67,USD,Servizi industriali,10355982167.000002,USD,
MDGL,"Madrigal Pharmaceuticals, Inc.",435.01,USD,Tecnologia sanitaria,9979115750.999998,USD,
OKLO,Oklo Inc. Class A,63.83,USD,Filiera di fabbricazione,9973251758.000002,USD,
GTLS,"Chart Industries, Inc.",207.17,USD,Filiera di fabbricazione,9900940487,USD,
ONB,Old National Bancorp,25.2,USD,Finanza,9819760002,USD,
AHR,"American Healthcare REIT, Inc.",51.93,USD,Finanza,9737667684,USD,
UMBF,UMB Financial Corporation,126.85,USD,Finanza,9634848315.999998,USD,
JOBY,"Joby Aviation, Inc.",9.87,USD,Tecnologia elettronica,9521061895,USD,
PRAX,"Praxis Precision Medicines, Inc.",335.28,USD,Tecnologia sanitaria,9337826913.999998,USD,
AXSM,"Axsome Therapeutics, Inc.",183.72,USD,Tecnologia sanitaria,9261810212,USD,
IDCC,"InterDigital, Inc.",358.5,USD,Servizi tecnologici,9208705493,USD,
PRIM,Primoris Services Corporation,169.36,USD,Servizi industriali,9150919243,USD,
