Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
NVDA,NVIDIA Corporation,189.82,USD,Tecnologia elettronica,4612626177979,USD,
AAPL,Apple Inc.,264.58,USD,Tecnologia elettronica,3884335731049,USD,
GOOG,Alphabet Inc. Class C,314.9,USD,Servizi tecnologici,3809878059967,USD,
GOOGL,Alphabet Inc. Class A,314.98,USD,Servizi tecnologici,3809878059967,USD,
MSFT,Microsoft Corporation,397.23,USD,Servizi tecnologici,2949682652010,USD,
AMZN,"Amazon.com, Inc.",210.11,USD,Vendita al dettaglio,2255514236523,USD,
META,Meta Platforms Inc Class A,655.66,USD,Servizi tecnologici,1658528258660,USD,
AVGO,Broadcom Inc.,332.65,USD,Tecnologia elettronica,1577184742472.9998,USD,
TSLA,"Tesla, Inc.",411.82,USD,Beni di consumo durevoli,1545326526268,USD,
BRK.B,Berkshire Hathaway Inc. Class B,498.2,USD,Finanza,1074365951375.9999,USD,
WMT,Walmart Inc.,122.99,USD,Vendita al dettaglio,980250821343,USD,
LLY,Eli Lilly and Company,1009.52,USD,Tecnologia sanitaria,952338202956,USD,
JPM,JPMorgan Chase & Co.,310.79,USD,Finanza,838210744616,USD,
XOM,Exxon Mobil Corporation,147.28,USD,Minerali energetici,613680948507,USD,
V,Visa Inc. Class A,320.95,USD,Finanza,611733726760,USD,
JNJ,Johnson & Johnson,242.49,USD,Tecnologia sanitaria,584376403750.9999,USD,
MU,"Micron Technology, Inc.",428.17,USD,Tecnologia elettronica,481909322392.99994,USD,
MA,Mastercard Incorporated Class A,526.41,USD,Finanza,469458886066,USD,
COST,Costco Wholesale Corporation,985.27,USD,Vendita al dettaglio,437331227465,USD,
ORCL,Oracle Corporation,148.08,USD,Servizi tecnologici,425595410087,USD,
ABBV,"AbbVie, Inc.",224.81,USD,Tecnologia sanitaria,397325737403,USD,
BAC,Bank of America Corp,53.06,USD,Finanza,382693368605.99994,USD,
